filename,timestamp,latitude,longitude,roll,pitch,entropy,date,depth,EunisCode,EunisName,level1,level2,level3,level4,level5,level6,species,AphiaID
113610_cam_survey_1_frame1246.jpg,1525175379.8739998,41.53323,-8.810360000000003,-3.11,-20.12,21.806570207234806,01/05/18,9.67,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,Paracentrotus,
113610_cam_survey_1_frame1272.jpg,1525175383.584,41.53324,-8.810360000000003,-0.24,-21.64,21.847648274179072,01/05/18,8.34,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
132143_forcadinho-np3_frame1317.jpg,1525182682.825,41.53305,-8.809619999999997,-3.47,-22.16,21.67161742878397,01/05/18,9.81,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,Marthasterias glacialis,123803.0
113610_cam_survey_1_frame2894.jpg,1525176416.125,41.53307,-8.80638,0.87,-17.67,21.931658982192,01/05/18,8.83,A3.11,Kelp with cushion fauna and/or foliose red seaweeds,A,A3,A3.1,A3.11,,,,
113610_cam_survey_1_frame2643.jpg,1525176306.226,41.53337,-8.805860000000003,-23.16,-19.0,21.929501707483467,01/05/18,9.28,A3.11,Kelp with cushion fauna and/or foliose red seaweeds,A,A3,A3.1,A3.11,,,,
113610_cam_survey_1_frame1028.jpg,1525175290.82,41.53322,-8.8109,-5.01,-16.39,21.91808423055409,01/05/18,9.19,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
113610_cam_survey_1_frame93.jpg,1525174810.17,41.53315,-8.81387,-7.77,-19.12,21.867295939619346,01/05/18,9.59,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,Cliona celata,134121.0
113610_cam_survey_1_frame311.jpg,1525174928.337,41.53316,-8.81317,-2.55,-20.56,21.92482689877584,01/05/18,10.05,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
113610_cam_survey_1_frame967.jpg,1525175267.13,41.53322,-8.81097,-2.61,-20.26,21.86981729108412,01/05/18,9.79,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,Mesophyllum lichenoides,145188.0
113610_cam_survey_1_frame1178.jpg,1525175351.188,41.53324,-8.81045,-2.67,-20.59,21.834012988657406,01/05/18,11.07,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,Marthasterias,
125355_forcadinho-np3_frame1282.jpg,1525180133.776,41.53098,-8.81082,-1.57,-24.4,21.83515919597908,01/05/18,10.56,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
125355_forcadinho-np3_frame1189.jpg,1525180094.539,41.53084000000001,-8.810889999999997,-4.83,-19.47,21.775245105431786,01/05/18,10.94,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
113610_cam_survey_1_frame2705.jpg,1525176315.105,41.53335,-8.80589,0.04,-24.9,21.885769434209326,01/05/18,8.32,A3.11,Kelp with cushion fauna and/or foliose red seaweeds,A,A3,A3.1,A3.11,,,,
113610_cam_survey_1_frame1290.jpg,1525175386.153,41.53324,-8.810360000000003,1.77,-21.58,21.83765772103333,01/05/18,7.66,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
113610_cam_survey_1_frame945.jpg,1525175247.863,41.53322,-8.81113,0.85,-24.11,21.883484519534573,01/05/18,9.67,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
132143_forcadinho-np3_frame1325.jpg,1525182683.976,41.53305,-8.809610000000003,-2.96,-23.26,21.700019956494774,01/05/18,9.62,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
125355_forcadinho-np3_frame1837.jpg,1525180382.954,41.53205,-8.81024,-1.4,-22.83,21.888347822819448,01/05/18,11.81,A3.11, Kelp with cushion fauna and/or foliose red seaweeds,A,A3,A3.1,A3.11,,,Echinus esculentus,124287.0
113610_cam_survey_1_frame345.jpg,1525174933.18,41.53316,-8.81316,0.49,-26.19,21.79727172137387,01/05/18,8.69,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
132143_forcadinho-np3_frame1379.jpg,1525182691.704,41.53303,-8.80959,0.19,-19.36,21.878109513785855,01/05/18,9.22,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
113610_cam_survey_1_frame2006.jpg,1525175815.444,41.5333,-8.80763,-1.25,-19.04,21.90531274236835,01/05/18,9.83,A3.11,Kelp with cushion fauna and/or foliose red seaweeds,A,A3,A3.1,A3.11,,,,
113610_cam_survey_1_frame1460.jpg,1525175472.504,41.53324,-8.80997,1.52,-27.88,21.93618012980824,01/05/18,5.46,A3.1,Atlantic and Mediterranean high energy infralittoral rock,A,A3,A3.1,,,,,
